player_lastname,player_firstname,season,draymond
Bogdanovic ,Bojan,2018,-0.463
Bogdanovic ,Bojan,2019,-0.317
Colson ,Bonzie,2019,-4.752
Diaw ,Boris,2014,0.082
Diaw ,Boris,2015,-0.24
Diaw ,Boris,2016,0.692
Diaw ,Boris,2017,-0.769
Wanamaker ,Brad,2019,-0.447
Beal ,Bradley,2014,0.865
Beal ,Bradley,2015,-0.134
Beal ,Bradley,2016,-0.444
Beal ,Bradley,2017,-0.094
Beal ,Bradley,2018,-0.254
Beal ,Bradley,2019,-0.798
Wright ,Brandan,2014,-0.569
Wright ,Brandan,2015,0.327
Wright ,Brandan,2016,0.376
Wright ,Brandan,2017,2.289
Wright ,Brandan,2018,0.59
Dawson ,Branden,2016,-7.403
Bass ,Brandon,2014,0.816
Bass ,Brandon,2015,-0.335
Bass ,Brandon,2016,-0.417
Bass ,Brandon,2017,-1.138
Davies ,Brandon,2014,-0.96
Davies ,Brandon,2015,-3.694
Goodwin ,Brandon,2019,-3.641
Ingram ,Brandon,2017,-1.359
Ingram ,Brandon,2018,0.276
Ingram ,Brandon,2019,1.149
Jennings ,Brandon,2014,-1.321
Jennings ,Brandon,2015,-1.388
Jennings ,Brandon,2016,1.164
Jennings ,Brandon,2017,-1.61
Jennings ,Brandon,2018,-3.181
Knight ,Brandon,2014,-1.052
Knight ,Brandon,2015,-0.43
Knight ,Brandon,2016,-0.838
Knight ,Brandon,2017,-0.449
Knight ,Brandon,2019,-1.462
Paul ,Brandon,2018,-0.328
Rush ,Brandon,2014,-4.093
Rush ,Brandon,2015,-3.728
Rush ,Brandon,2016,-0.144
Rush ,Brandon,2017,1.528
Sampson ,Brandon,2019,-1.62
Haywood ,Brendan,2015,3.69
Roberts ,Brian,2014,0.454
Roberts ,Brian,2015,1.115
Roberts ,Brian,2016,0.648
Roberts ,Brian,2017,-1.429
Weber ,Briante,2016,-3.947
Weber ,Briante,2017,-5.822
Weber ,Briante,2018,-7.718
Johnson ,Brice,2017,5.905
Johnson ,Brice,2018,3.933
Lopez ,Brook,2014,3.288
Lopez ,Brook,2015,1.347
Lopez ,Brook,2016,1.31
Lopez ,Brook,2017,0.844
Lopez ,Brook,2018,1.262
Lopez ,Brook,2019,2.532
Brown ,Bruce,2019,2.207
Caboclo ,Bruno,2015,-10.363
Caboclo ,Bruno,2016,-2.35
Caboclo ,Bruno,2017,14.176
Caboclo ,Bruno,2018,4.007
Caboclo ,Bruno,2019,0.908
Cotton ,Bryce,2015,-3.361
Cotton ,Bryce,2016,-8.125
Dejean-Jones ,Bryce,2016,-2.567
Forbes ,Bryn,2017,-0.733
Forbes ,Bryn,2018,-0.09
Forbes ,Bryn,2019,-1.823
Hield ,Buddy,2017,-1.737
Hield ,Buddy,2018,-0.663
Hield ,Buddy,2019,-0.22
Mullens ,Byron,2014,-3.948
Watson ,C.J.,2014,0.598
Watson ,C.J.,2015,0.981
Watson ,C.J.,2016,-2.398
Watson ,C.J.,2017,-1.348
Williams ,C.J.,2018,0.793
Williams ,C.J.,2019,-2.327
McCollum ,CJ,2014,1.582
McCollum ,CJ,2015,2.083
McCollum ,CJ,2016,0.172
McCollum ,CJ,2017,-0.67
McCollum ,CJ,2018,0.485
McCollum ,CJ,2019,0.699
Miles ,CJ,2014,-1.157
Miles ,CJ,2015,1.032
Miles ,CJ,2016,0.437
Miles ,CJ,2017,-0.558
Miles ,CJ,2018,-0.367
Miles ,CJ,2019,0.49
Wilcox ,CJ,2015,-6.24
Wilcox ,CJ,2016,3.21
Wilcox ,CJ,2017,-3.535
Swanigan ,Caleb,2018,-0.703
Swanigan ,Caleb,2019,0.393
Bairstow ,Cameron,2015,1.039
Bairstow ,Cameron,2016,2.969
Payne ,Cameron,2016,-0.584
Payne ,Cameron,2017,-0.335
Payne ,Cameron,2018,0.792
Payne ,Cameron,2019,-3.791
Reynolds ,Cameron,2019,-0.108
LeVert ,Caris,2017,-0.933
LeVert ,Caris,2018,-1.075
LeVert ,Caris,2019,-0.972
Landry ,Carl,2014,-3.1
Landry ,Carl,2015,0.77
Landry ,Carl,2016,-2.045
Boozer ,Carlos,2014,-0.885
Boozer ,Carlos,2015,-0.48
Anthony ,Carmelo,2014,-0.164
Anthony ,Carmelo,2015,-1.473
Anthony ,Carmelo,2016,-0.823
Anthony ,Carmelo,2017,-0.124
Anthony ,Carmelo,2018,-0.656
Anthony ,Carmelo,2019,-1.897
Butler ,Caron,2014,-0.474
Butler ,Caron,2015,-1.027
Butler ,Caron,2016,-1.654
Felix ,Carrick,2014,-2.811
Martin ,Cartier,2014,-2.238
