player_id,player_lastname,player_firstname,season,draymond
sacrero01,Sacre,Robert,2015,-0.61
sacrero01,Sacre,Robert,2014,-0.495
salmojo01,Salmons,John,2015,-4.115
salmojo01,Salmons,John,2014,0.38
sampsja02,Sampson,JaKarr,2019,0.131
sampsja02,Sampson,JaKarr,2015,-0.156
sampsja02,Sampson,JaKarr,2016,-0.034
sampsja02,Sampson,JaKarr,2018,3.31
sampsbr01,Sampson,Brandon,2019,-1.62
sandela01,Sanders,Larry,2015,1.1320000000000001
sandela01,Sanders,Larry,2017,9.363999999999999
sandela01,Sanders,Larry,2014,2.045
saricda01,Saric,Dario,2019,0.106
saricda01,Saric,Dario,2018,-0.09699999999999999
saricda01,Saric,Dario,2017,0.019
satorto01,Satoransky,Tomas,2019,-1.071
satorto01,Satoransky,Tomas,2017,1.3
satorto01,Satoransky,Tomas,2018,0.593
schrode01,Schroder,Dennis,2016,0.619
schrode01,Schroder,Dennis,2017,0.473
schrode01,Schroder,Dennis,2014,0.19899999999999998
schrode01,Schroder,Dennis,2018,-1.561
schrode01,Schroder,Dennis,2019,-0.41700000000000004
schrode01,Schroder,Dennis,2015,-1.159
scolalu01,Scola,Luis,2016,-1.006
scolalu01,Scola,Luis,2014,0.6940000000000001
scolalu01,Scola,Luis,2015,-0.16699999999999998
scolalu01,Scola,Luis,2017,-1.006
scottmi01,Scott,Mike,2019,-0.321
scottmi01,Scott,Mike,2017,-0.207
scottmi01,Scott,Mike,2016,0.109
scottmi01,Scott,Mike,2015,-0.203
scottmi01,Scott,Mike,2014,-0.825
scottmi01,Scott,Mike,2018,-0.36200000000000004
sefolth01,Sefolosha,Thabo,2019,1.6740000000000002
sefolth01,Sefolosha,Thabo,2015,1.655
sefolth01,Sefolosha,Thabo,2016,1.464
sefolth01,Sefolosha,Thabo,2017,-0.018000000000000002
sefolth01,Sefolosha,Thabo,2018,-0.12300000000000001
sefolth01,Sefolosha,Thabo,2014,1.104
seldewa01,Selden,Wayne,2017,-1.148
seldewa01,Selden,Wayne,2018,0.16399999999999998
seldewa01,Selden,Wayne,2019,-1.4909999999999999
serapke01,Seraphin,Kevin,2016,2.03
serapke01,Seraphin,Kevin,2015,1.285
serapke01,Seraphin,Kevin,2017,0.38799999999999996
serapke01,Seraphin,Kevin,2014,0.557
sessira01,Sessions,Ramon,2017,-0.11900000000000001
sessira01,Sessions,Ramon,2016,-1.575
sessira01,Sessions,Ramon,2015,1.016
sessira01,Sessions,Ramon,2018,-0.451
sessira01,Sessions,Ramon,2014,-1.128
sextoco01,Sexton,Collin,2019,-3.585
shakumu01,Shakur,Mustafa,2014,7.322
shamela01,Shamet,Landry,2019,-0.047
shengto01,Shengelia,Tornike,2014,2.035
shumpim01,Shumpert,Iman,2015,0.5329999999999999
shumpim01,Shumpert,Iman,2014,-1.0490000000000002
shumpim01,Shumpert,Iman,2018,-2.752
shumpim01,Shumpert,Iman,2016,-1.21
shumpim01,Shumpert,Iman,2017,1.4769999999999999
shumpim01,Shumpert,Iman,2019,-0.8320000000000001
shvedal01,Shved,Alexey,2014,-0.43799999999999994
shvedal01,Shved,Alexey,2015,-2.375
siakapa01,Siakam,Pascal,2018,0.207
siakapa01,Siakam,Pascal,2017,-0.7809999999999999
siakapa01,Siakam,Pascal,2019,1.646
siberjo01,Sibert,Jordan,2019,-2.437
silasxa01,Silas,Xavier,2018,9.83
simmobe01,Simmons,Ben,2019,0.97
simmobe01,Simmons,Ben,2018,1.224
simmojo02,Simmons,Jonathon,2016,-2.276
simmojo02,Simmons,Jonathon,2017,-0.7490000000000001
simmojo02,Simmons,Jonathon,2018,-0.955
simmojo02,Simmons,Jonathon,2019,-0.7909999999999999
