player_id,player_lastname,player_firstname
johnsja01,Johnson,James
johnsjo02,Johnson,Joe
johnsni01,Johnson,Nick
johnswe01,Johnson,Wesley
johnsty01,Johnson,Tyler
johnsst04,Johnson,Stanley
johnsor01,Johnson,Orlando
johnsam01,Johnson,Amir
johnsbr02,Johnson,Brice
johnsom01,Johnson,Omari
johnsda04,Johnson,Dakari
johnsal02,Johnson,Alize
johnsbj01,Johnson,B.J.
johnsda03,Johnson-Odom,Darius
jokicni01,Jokic,Nikola
jonesso01,Jones,Solomon
jonesda02,Jones,Dahntay
jonesja02,Jones,James
jonesty01,Jones,Tyus
joneste01,Jones,Terrence
jonesja04,Jones,Jalen
jonespe01,Jones,Perry
jonesje01,Jones,Jemerrio
jonesda03,Jones,Damian
jonesde02,Jones,Derrick
jordade01,Jordan,DeAndre
jordaje01,Jordan,Jerome
josepco01,Joseph,Cory
kamanch01,Kaman,Chris
kaminfr01,Kaminsky,Frank
kanteen01,Kanter,Enes
karasse01,Karasev,Sergey
kaunsa01,Kaun,Sasha
kellyry01,Kelly,Ryan
kennalu01,Kennard,Luke
kiddgmi01,Kidd-Gilchrist,Michael
kilpase01,Kilpatrick,Sean
kingge03,King,George
kirilan01,Kirilenko,Andrei
kirkal01,Kirk,Alex
klebima01,Kleber,Maxi
knighbr03,Knight,Brandon
knoxke01,Knox,Kevin
korkmfu01,Korkmaz,Furkan
kornelu01,Kornet,Luke
korveky01,Korver,Kyle
koufoko01,Koufos,Kosta
kravtvi01,Kravtsov,Viacheslav
kurucro01,Kurucs,Rodions
kuzmaky01,Kuzma,Kyle
kuzmiog01,Kuzmic,Ognjen
kuzmimi01,Kuzminskas,Mindaugas
lavinza01,LaVine,Zach
labissk01,Labissiere,Skal
lambje01,Lamb,Jeremy
lambdo01,Lamb,Doron
landrca01,Landry,Carl
laproni01,Laprovittola,Nicolas
larkish01,Larkin,Shane
lauvejo01,Lauvergne,Joffrey
lawsoty01,Lawson,Ty
laymaja01,Layman,Jake
leverca01,LeVert,Caris
leaftj01,Leaf,T.J.
ledori01,Ledo,Ricky
leeda02,Lee,David
leeco01,Lee,Courtney
leema01,Lee,Malcolm
leeda03,Lee,Damion
lemonwa01,Lemon,Walt
lenal01,Len,Alex
leoname01,Leonard,Meyers
leonaka01,Leonard,Kawhi
leuerjo01,Leuer,Jon
lewisra02,Lewis,Rashard
liggide01,Liggins,DeAndre
lillada01,Lillard,Damian
linje01,Lin,Jeremy
livinsh01,Livingston,Shaun
loftoza01,Lofton,Zach
longsh01,Long,Shawn
looneke01,Looney,Kevon
lopezbr01,Lopez,Brook
lopezro01,Lopez,Robin
loveke01,Love,Kevin
lowryky01,Lowry,Kyle
loydjo01,Loyd,Jordan
lucaska01,Lucas,Kalin
lucasjo02,Lucas III,John
luwawti01,Luwawu-Cabarrot,Timothe
lydonty01,Lydon,Tyler
lylestr01,Lyles,Trey
mcclesh01,Mac,Sheldon
machasc01,Machado,Scott
macksh01,Mack,Shelvin
maconda01,Macon,Daryl
macurjp01,Macura,J.P.
magetjo01,Magette,Josh
mahinia01,Mahinmi,Ian
makerth01,Maker,Thon
marblde01,Marble,Devyn
mariosh01,Marion,Shawn
marjabo01,Marjanovic,Boban
markkla01,Markkanen,Lauri
marshke01,Marshall,Kendall
martija01,Martin,Jarell
martica01,Martin,Cartier
martike02,Martin,Kevin
martike01,Martin,Kenyon
masonro01,Mason,Roger
masonfr01,Mason,Frank
matenya01,Maten,Yante
mathima01,Mathiang,Mangok
matthwe02,Matthews,Wesley
maxieja01,Maxiell,Jason
maynoer01,Maynor,Eric
mayooj01,Mayo,O.J.
mbahalu01,Mbah-a-Moute,Luc
mccalta01,McCall,Tahjere
mccalra01,McCallum,Ray
mccawpa01,McCaw,Patrick
mccolcj01,McCollum,CJ
mccontj01,McConnell,T.J.
mccreer01,McCree,Erik
mcculch01,McCullough,Chris
mcdankj01,McDaniels,K.J.
mcderdo01,McDermott,Doug
mcgarmi01,McGary,Mitch
mcgeeja01,McGee,JaVale
mcgruro01,McGruder,Rodney
mckintr01,McKinney-Jones,Trey
mckinal01,McKinnie,Alfonzo
mclembe01,McLemore,Ben
mcneaje01,McNeal,Jerel
mcraejo01,McRae,Jordan
mcrobjo01,McRoberts,Josh
meeksjo01,Meeks,Jodie
mejrisa01,Mejri,Salah
mekelga01,Mekel,Gal
meltode01,Melton,De'Anthony
metuch01,Metu,Chimezie
mcadoja01,Michael McAdoo,James
mickejo01,Mickey,Jordan
middlkh01,Middleton,Khris
milescj01,Miles,C.J.
millequ01,Miller,Quincy
milleda01,Miller,Darius
millean02,Miller,Andre
millema01,Miller,Malcolm
millemi01,Miller,Mike
millspa02,Mills,Patty
millsel01,Millsap,Elijah
millspa01,Millsap,Paul
miltosh01,Milton,Shake
mirotni01,Mirotic,Nikola
mitchdo01,Mitchell,Donovan
mitchto03,Mitchell,Tony
mitchto02,Mitchell,Tony
mitrona01,Mitrou-Long,Naz
mohamna01,Mohammed,Nazr
monkma01,Monk,Malik
monrogr01,Monroe,Greg
montelu01,Montero,Luis
mooreet01,Moore,E'Twaun
moorebe01,Moore,Ben
moreler01,Moreland,Eric
morrima03,Morris,Marcus
morrima02,Morris,Markieff
morrimo01,Morris,Monte
morrija01,Morris,Jaylen
morrida01,Morris,Darius
morroan01,Morrow,Anthony
motiedo01,Motiejunas,Donatas
motlejo01,Motley,Johnathan
moultar01,Moultrie,Arnett
mozgoti01,Mozgov,Timofey
mudiaem01,Mudiay,Emmanuel
muhamsh01,Muhammad,Shabazz
mulleby01,Mullens,Byron
munfoxa02,Munford,Xavier
murpher01,Murphy,Erik
murraja01,Murray,Jamal
murrade01,Murray,Dejounte
murryto01,Murry,Toure'
musadz01,Musa,Dzanan
muscami01,Muscala,Mike
mykhasv01,Mykhailiuk,Sviatoslav
ndiayha01,N'Diaye,Hamady
naderab01,Nader,Abdel
nancela02,Nance,Larry
napiesh01,Napier,Shabazz
nashst01,Nash,Steve
ndourma01,Ndour,Maurice
nealga01,Neal,Gary
